track_id,condition_score,defects,failures,days_since_inspection,traffic_density,track_age,maintenance_duration,risk_score,risk_level
S001,34,0,5,22,51,16,2,50.11666666666666,MEDIUM
S002,33,10,5,39,31,39,4,76.0,CRITICAL
S003,24,0,0,18,49,34,5,41.65,MEDIUM
S004,23,8,1,50,89,28,2,70.78333333333333,HIGH
S005,77,9,2,56,20,12,6,46.233333333333334,MEDIUM
S006,74,5,2,14,47,23,1,38.93333333333333,MEDIUM
S007,31,6,0,27,64,40,3,56.800000000000004,HIGH
S008,25,7,4,12,68,7,5,62.45,HIGH
S009,57,10,4,60,66,38,2,74.3,HIGH
S010,28,0,5,19,57,7,2,50.066666666666656,MEDIUM
S011,32,6,2,34,66,12,3,56.96666666666666,HIGH
S012,65,3,5,22,29,40,6,49.516666666666666,MEDIUM
S013,41,8,5,20,40,31,4,65.78333333333333,HIGH
S014,54,10,5,40,48,22,1,68.16666666666666,HIGH
S015,49,0,2,30,54,6,2,35.9,MEDIUM
S016,92,5,1,46,83,27,6,42.266666666666666,MEDIUM
S017,78,2,2,13,51,37,5,35.66666666666667,MEDIUM
S018,53,9,3,42,71,25,2,65.0,HIGH
S019,37,8,3,10,26,9,2,51.71666666666666,MEDIUM
S020,40,10,3,43,28,26,4,64.86666666666667,HIGH
S021,79,8,2,40,21,9,6,40.36666666666667,MEDIUM
S022,88,4,5,26,34,20,4,41.03333333333334,MEDIUM
S023,40,7,0,51,53,34,2,56.95,HIGH
S024,84,1,5,24,84,40,2,48.4,MEDIUM
S025,39,5,1,39,87,2,5,51.349999999999994,MEDIUM
S026,61,7,0,12,66,21,2,42.85,MEDIUM
S027,27,3,4,10,30,33,1,54.31666666666666,MEDIUM
S028,88,2,1,47,80,37,2,39.68333333333334,MEDIUM
S029,53,8,4,32,47,36,6,63.483333333333334,HIGH
S030,45,4,3,47,67,30,5,58.88333333333333,HIGH
S031,77,1,1,19,28,23,1,25.016666666666666,LOW
S032,95,8,1,42,48,2,1,35.2,MEDIUM
S033,27,3,0,7,62,6,5,39.86666666666667,MEDIUM
S034,50,4,5,36,47,36,2,60.05,HIGH
S035,93,9,3,20,80,28,2,51.43333333333334,MEDIUM
S036,32,1,5,32,65,29,4,59.733333333333334,HIGH
S037,79,0,5,46,32,5,4,35.016666666666666,MEDIUM
S038,63,1,1,17,44,36,4,34.53333333333333,LOW
S039,37,6,1,22,79,17,1,53.666666666666664,MEDIUM
S040,76,8,0,8,89,2,1,38.38333333333333,MEDIUM
S041,50,2,3,36,81,15,4,49.9,MEDIUM
S042,27,2,3,5,69,18,4,50.583333333333336,MEDIUM
S043,56,6,5,51,91,33,2,70.6,HIGH
S044,44,4,1,8,94,36,1,52.233333333333334,MEDIUM
S045,60,0,0,42,81,34,5,39.65,MEDIUM
S046,40,0,4,10,43,6,5,39.61666666666667,MEDIUM
