train_id,track_id,start_time,end_time,passengers
T001,S001,00:30,01:15,420
T002,S002,01:00,01:45,350
T003,S003,01:30,02:20,580
T004,S004,02:00,02:50,275
T005,S005,02:30,03:15,620
T006,S006,03:00,03:50,410
T007,S007,03:30,04:20,300
T008,S008,04:00,04:45,550
T009,S009,04:30,05:20,720
T010,S010,05:00,05:50,480
T011,S001,06:00,06:45,650
T012,S002,07:00,07:50,530
T013,S003,08:00,08:40,700
T014,S004,09:00,09:50,390
T015,S005,10:00,10:45,610
T016,S006,11:00,11:55,450
T017,S007,12:00,12:50,520
T018,S008,13:00,13:45,680
T019,S009,14:00,14:55,750
T020,S010,15:00,15:50,430
